date,day_week,open,high,low,close
20190329,5,67.2900000,68.3000000,67.1500000,67.5500000
20190401,1,67.5800000,69.2200000,67.5800000,69.1600000
20190402,2,69.2200000,69.5800000,68.6900000,69.5700000
20190403,3,69.4700000,69.9600000,68.8000000,69.5200000
20190404,4,69.4400000,70.0300000,68.8700000,69.3100000
20190405,5,69.1300000,70.4800000,68.9200000,70.4800000
20190408,1,70.5600000,71.1900000,70.4300000,71.1000000
20190409,2,71.1900000,71.3400000,70.3000000,70.8300000
20190410,3,70.8200000,71.7800000,70.5700000,71.5700000
20190411,4,71.5600000,71.6800000,70.5700000,70.9800000
20190412,5,70.9500000,71.8700000,70.9000000,71.5500000
20190415,1,71.5500000,71.6000000,70.7800000,71.3000000
20190416,2,71.2100000,71.9500000,70.7400000,71.8600000
20190417,3,71.8300000,72.2700000,71.4500000,71.6400000
20190418,4,71.6300000,72.0400000,71.2000000,72.0100000
20190422,1,71.9300000,74.5200000,71.8600000,74.2500000
20190423,2,74.3800000,74.7300000,73.9900000,74.3600000
20190424,3,74.2700000,74.7300000,74.0200000,74.5500000
20190425,4,74.4600000,75.6000000,73.5500000,73.6200000
20190426,5,73.5500000,73.6500000,70.6000000,71.1300000
20190429,1,71.0900000,72.0000000,70.6300000,71.4200000
20190430,2,71.4400000,72.7900000,71.1900000,71.6600000
20190501,3,71.7300000,72.3600000,71.3000000,72.0500000
20190502,4,72.0000000,72.2200000,69.6800000,70.3500000
20190503,5,70.4800000,71.5400000,69.9500000,70.7800000
20190506,1,70.5900000,71.7900000,68.7900000,70.9800000
20190507,2,71.1500000,71.3300000,68.7000000,68.8100000
20190508,3,68.7700000,70.7000000,68.0500000,68.4800000
20190509,4,68.4900000,70.6500000,68.3100000,68.7100000
20190510,5,68.5700000,71.2300000,68.5700000,70.8600000
20190513,1,69.0900000,72.5800000,68.6300000,68.7500000
20190514,2,68.7200000,71.6500000,68.6500000,69.2600000
20190515,3,69.2500000,72.2500000,68.9100000,70.5000000
20190516,4,70.4900000,73.3600000,70.2400000,71.0900000
20190517,5,71.1000000,73.2300000,70.6800000,72.1700000
20190520,1,70.5100000,73.4000000,70.5100000,70.5400000
20190521,2,70.5500000,72.5200000,69.9700000,69.9900000
20190522,3,69.9900000,72.0400000,68.5800000,68.6600000
20190523,4,68.6500000,70.9700000,66.2700000,66.4200000
20190524,5,66.4100000,69.3000000,66.2200000,69.2600000
20190527,1,66.8900000,68.8700000,66.3600000,67.7700000
20190528,2,67.8100000,69.2300000,67.1600000,67.2300000
20190529,3,67.2100000,68.6200000,66.0500000,67.3000000
20190530,4,67.2600000,68.3400000,63.7500000,63.7700000
20190531,5,63.7800000,64.9100000,61.3900000,61.7600000
20190603,1,60.8100000,62.8400000,59.7100000,60.1800000
20190604,2,60.1900000,62.1200000,59.4700000,60.8000000
20190605,3,60.7800000,62.2700000,59.4500000,59.7000000
20190606,4,59.7200000,62.4300000,59.0700000,61.4100000
20190607,5,61.3900000,63.5900000,61.3000000,63.2400000
20190610,1,62.5800000,64.1000000,61.4300000,61.5100000
20190611,2,61.5100000,62.8700000,60.4600000,60.4900000
20190612,3,60.4900000,61.8500000,58.9800000,59.7100000
20190613,4,59.6900000,62.6400000,59.4400000,60.8300000
20190614,5,60.8400000,62.5700000,60.2000000,62.0400000
20190617,1,61.0500000,62.3700000,59.8000000,59.9600000
20190618,2,59.9600000,62.8400000,59.5100000,61.4200000
20190619,3,61.4200000,62.5500000,60.9800000,61.8700000
20190620,4,61.8600000,64.8200000,61.8500000,64.7000000
